int_no,rank
1010,719
1358,720
1017,721
450,722
889,723
394,724
789,725
9460,726
9029,727
1152,728
645,729
1165,730
1201,731
9,732
113,733
11,734
841,735
669,736
9297,737
1083,738
1408,739
731,740
942,741
943,742
1237,743
692,744
741,745
56,746
8873,747
680,748
515,749
818,750
1116,751
1564,752
436,753
714,754
791,755
1100,756
482,757
608,758
183,759
1356,760
1026,761
273,762
1229,763
1143,764
1512,765
1066,766
1180,767
729,768
1423,769
458,770
58,771
1376,772
1474,773
2869,774
17614,775
548,776
1032,777
576,778
435,779
1688,780
1525,781
1365,782
16909,783
114,784
1549,785
1544,786
12315,787
1078,788
1326,789
1218,790
1272,791
87,792
132,793
835,794
1140,795
393,796
15281,797
1301,798
8844,799
1231,800
739,801
279,802
1196,803
932,804
1184,805
964,806
1766,807
15140,808
650,809
779,810
17635,811
1650,812
1172,813
264,814
15739,815
732,816
9036,817
16729,818
766,819
526,820
387,821
1162,822
683,823
10039,824
459,825
169,826
192,827
237,828
483,829
867,830
1177,831
1063,832
1445,833
16917,834
311,835
687,836
246,837
1173,838
584,839
14677,840
983,841
1270,842
615,843
13282,844
8,845
961,846
11010,847
8860,848
1109,849
1642,850
883,851
8699,852
689,853
811,854
162,855
2076,856
1475,857
9458,858
1123,859
809,860
155,861
1706,862
1153,863
1159,864
3308,865
389,866
795,867
1621,868
509,869
1404,870
11179,871
948,872
1119,873
181,874
1200,875
350,876
495,877
1127,878
4426,879
1170,880
1155,881
1620,882
518,883
2008,884
13073,885
1488,886
9137,887
9155,888
13285,889
1678,890
9145,891
59,892
1546,893
953,894
1062,895
143,896
1307,897
1183,898
42,899
1503,900
1690,901
1458,902
1303,903
1111,904
174,905
11812,906
1557,907
3231,908
1452,909
381,910
903,911
1279,912
107,913
1405,914
1501,915
16044,916
51,917
1390,918
119,919
1476,920
1264,921
161,922
674,923
1298,924
850,925
916,926
1409,927
19,928
1391,929
591,930
1286,931
569,932
14,933
115,934
216,935
1720,936
1434,937
902,938
1487,939
890,940
8714,941
734,942
1679,943
1136,944
1037,945
827,946
587,947
798,948
473,949
9675,950
496,951
35,952
562,953
1144,954
1013,955
8838,956
783,957
1094,958
15423,959
13289,960
618,961
30,962
801,963
537,964
15079,965
222,966
661,967
15982,968
918,969
8976,970
9142,971
1519,972
682,973
760,974
632,975
448,976
524,977
959,978
1185,979
939,980
1214,981
1440,982
301,983
1056,984
3329,985
808,986
8834,987
446,988
780,989
596,990
349,991
1280,992
1386,993
360,994
12105,995
1130,996
956,997
635,998
9030,999
185,1000
1146,1001
531,1002
6735,1003
1449,1004
29,1005
12,1006
39,1007
1340,1008
985,1009
1244,1010
1586,1011
1044,1012
1530,1013
1230,1014
1424,1015
997,1016
106,1017
276,1018
1154,1019
1314,1020
140,1021
899,1022
1175,1023
1570,1024
786,1025
13653,1026
226,1027
8862,1028
1425,1029
1763,1030
8743,1031
1640,1032
1163,1033
1222,1034
7721,1035
1250,1036
1323,1037
17,1038
7208,1039
626,1040
475,1041
242,1042
462,1043
103,1044
819,1045
996,1046
893,1047
1398,1048
1508,1049
80,1050
487,1051
1267,1052
1470,1053
836,1054
13837,1055
853,1056
104,1057
8848,1058
182,1059
812,1060
9025,1061
8885,1062
4175,1063
1097,1064
1011,1065
1419,1066
1429,1067
1471,1068
15,1069
623,1070
955,1071
1178,1072
1450,1073
105,1074
785,1075
1150,1076
1212,1077
1234,1078
917,1079
433,1080
520,1081
1676,1082
1675,1083
15765,1084
1432,1085
1258,1086
864,1087
624,1088
8638,1089
423,1090
784,1091
1703,1092
505,1093
802,1094
649,1095
1493,1096
15489,1097
1095,1098
1437,1099
8195,1100
1337,1101
1468,1102
71,1103
1737,1104
7782,1105
1422,1106
7205,1107
825,1108
1124,1109
269,1110
508,1111
15297,1112
465,1113
214,1114
1736,1115
255,1116
2303,1117
1439,1118
613,1119
740,1120
1506,1121
415,1122
817,1123
1051,1124
1191,1125
1147,1126
16662,1127
1683,1128
13214,1129
1660,1130
975,1131
1603,1132
1050,1133
1421,1134
1335,1135
1006,1136
662,1137
820,1138
93,1139
516,1140
751,1141
1015,1142
690,1143
999,1144
12569,1145
3064,1146
1099,1147
575,1148
12139,1149
